Project number,The data,Region,Granted support,Electricity consumption of the grid,Primary energy consumption before ,Current inverter set power,Inverter power in project,Electricity produced by solar panels,Primary energy consumption after ,Reduction of primary energy,CO2 emissions reduction
PME2-1043,01.08.2022,Rīga,4000,6.75,16.88,0,10,8.93,3.48,13.4,0.97
PME2-1044,01.08.2022,Kurzeme,4000,8.44,21.1,0,11.1,11.1,4.45,16.65,1.21
PME2-1032,01.08.2022,Vidzeme,3500,8.47,21.18,0,8,8.25,8.8,12.38,0.9
PME2-916,01.08.2022,Kurzeme,4000,18.39,45.98,0,10,10.46,30.29,15.69,1.14
PME2-1039,01.08.2022,Rīga,3500,7.02,17.55,0,8.25,8.25,5.18,12.38,0.9
PME2-950,01.08.2022,Rīga,4000,9.83,24.58,0,10.92,10,9.58,15,1.09
PME2-998,01.08.2022,Vidzeme,2800,4.41,11.03,0,6.54,6.54,1.22,9.81,0.71
PME2-1028,30.07.2022,Rīga,4000,8.15,20.38,0,11,9.47,6.17,14.21,1.03
PME2-1021,29.07.2022,Rīga,1800,3.11,7.78,0,3,2,4.78,3,0.22
PME2-1015,28.07.2022,Rīga,2800,4.66,11.65,0,6.21,6.39,2.07,9.59,0.7
PME2-1004,28.07.2022,Rīga,3500,7.75,19.38,0,8.2,8.6,6.48,12.9,0.94
PME2-1000,28.07.2022,Rīga,2200,1.82,4.55,0,4,3.18,-0.22,4.77,0.35
PME2-646,28.07.2022,Rīga,3500,6.49,16.23,0,8,7.35,5.2,11.03,0.8
PME2-995,28.07.2022,Rīga,3500,9.88,24.7,0,8.4,7.58,13.33,11.37,0.83
PME2-999,27.07.2022,Latgale,3500,5.05,12.63,0,8.6,9,-0.88,13.5,0.98
PME2-891,26.07.2022,Rīga,2800,6.45,16.13,0,6.4,5.92,7.25,8.88,0.65
PME2-989,26.07.2022,Rīga,2200,2.88,7.2,0,4,3.32,2.22,4.98,0.36
PME2-994,26.07.2022,Zemgale,2800,4.32,10.8,0,6,6.6,0.9,9.9,0.72
PME2-720,25.07.2022,Rīga,2200,2.97,7.43,0,4,4.73,0.33,7.1,0.52
PME2-971,25.07.2022,Vidzeme,1800,3.07,7.68,0,3,3.51,2.41,5.27,0.38
